TGSC ID,Content Data Category,Content TGSC ID,Content Name,Content Header,Concentration %,Concentration Min %,Concentration Max %
1024151,rw,1429601,(E)-decen-1-yl cyclopentanone,also (can) contains,,30.0,50.0
1024271,rw,1106441,(E)-cinnamyl propionate,also (can) contains,,,
1024521,rw,1290821,(E)-3-(2-furyl) acrolein,also (can) contains,,,
1024531,rw,1636471,(E)-furfural acetone,also (can) contains,,,
1024531,rw,1656751,(Z)-furfural acetone,also (can) contains,,,
1024861,rw,1384091,neryl anthranilate,also (can) contains,,,
1025351,rw,1006992,geraniol,also (can) contains,,3.0,5.0
1025351,rw,1008952,nerol,also (can) contains,,3.0,5.0
1025571,rw,1015641,"(E,Z)-2,4-heptadien-1-ol",also (can) contains,,0.1,8.0
1025641,rw,1117471,(S)-3-heptanol,also (can) contains,,,
1025641,rw,1117481,(R)-3-heptanol,also (can) contains,,,
1025701,rw,1115621,(E)-4-heptenal diethyl acetal,also (can) contains,19.0,,
1025711,rw,1116131,(Z)-2-hepten-1-ol,also (can) contains,,0.1,5.0
1025721,rw,1436221,(E)-2-hepten-4-one,also (can) contains,,,
1025741,rw,1078461,(Z)-2-hepten-1-yl acetate,also (can) contains,,,
1026221,rw,1440861,"2,4-hexadienal",also (can) contains,,,
1026541,rw,1698071,(E)-3-hexenal diethyl acetal,also (can) contains,,0.1,5.0
1026561,rw,1698061,(Z)-2-hexenal diethyl acetal,also (can) contains,,,
