Stimulus,Descriptors
111-81-9,fatty;rose;floral;fungal;earthy;citrus;waxy
111-82-0,mushroom;coconut;creamy;soapy;waxy
111-84-2,gasoline
111-87-5,sweet;aldehydic;mushroom;fatty;rose;floral;coconut;orange;green;citrus;waxy
111-88-6,sulfurous
111-90-0,ethereal
1113-13-9,roasted;alliaceous
1113-21-9,floral;balsamic;rose
1113-60-6,cabbage;radish;sour
1115-11-3,nutty;fruity;anisic;green;ethereal;pungent;sharp
1115-84-0,malty;sulfurous;potato;tomato;green
1117-52-8,flower;ether
1117-55-1,estery;berry;fruity;apple;green;waxy
1117-59-5,fruity;green;oily;brandy
1117-61-9,leafy;petal;floral;citronella;rose;oily
1117-65-3,tropical;fruity;winey
111753-60-7,leafy;cortex;floral;ozone;fresh;green;orangeflower
111753-62-9,sweet;anise;spicy;cortex;floral;powdery;mimosa;green;hawthorn
1118-27-0,herbal;apricot;lavender;bergamot;citrus;peach;sage
1118-39-4,nutmeg;floral;lavender;bergamot;woody;citrus
111879-79-9,musk
111879-80-2,sweet;dry;metallic;animal;powdery;tropical;cloth laundered cloth;musk;waxy
111879-81-3,musk
1119-06-8,leafy;foliage;cognac;green
1119-38-6,sweet;flowery;soft;mild
1119-44-4,sweet;ketonic;fruity;grassy;green;woody;cheesy;caraway
1119831-25-2,bland
112-02-7,bland
112-05-0,dirty;dairy;cheesy;waxy
112-06-1,aldehydic;rummy;fatty;winey;apricot;pear;fresh;green;woody;fruit ripe fruit;citrus;waxy
112-12-9,fatty;floral;fruity;pineapple;creamy;orris;ketonic;waxy
112-14-1,mushroom;herbal;green;earthy;waxy
112-17-4,sweet;clean;fatty;creamy;fresh;soapy;cloth laundered cloth;citrus;waxy
112-19-6,meaty;clean;fatty;rose;fruity;fresh;licorice;waxy;dairy;cheesy;cloth laundered cloth;sharp
112-23-2,vegetable;plum;floral;herbal;cucumber;fruity;apple;green;waxy
112-30-1,sweet;clean;fatty;floral;orange;watery;waxy
112-31-2,sweet;aldehydic;floral;orange peel;orange;citrus rind;citrus;waxy
112-32-3,rose;cucumber;fruity;orange;waxy
112-37-8,fatty;coconut;creamy;cheesy;waxy
112-38-9,sweet;woody
112-39-0,orris;fatty;oily;waxy
112-43-6,clean;floral;ozone;fresh;citrus;waxy
112-44-7,aldehydic;fatty;floral;watermelon;pineapple;cilantro;orange;green;soapy;cloth laundered cloth;citrus;waxy
