CID,Experiment,ROI#,DeltaF
240,111L,93,0.0
240,111L,94,0.0
240,111L,95,0.0
240,111L,96,0.0
240,111L,97,0.0
240,111L,98,0.0
240,111L,99,0.0
240,111L,100,0.0
240,111L,101,0.0
240,111L,102,0.0
240,111L,103,0.0
240,111L,104,0.0
240,111L,105,0.0
240,111L,106,0.0
240,111L,107,0.0
240,111L,108,0.0
240,111L,109,0.0
240,111L,110,0.0
240,111L,111,0.0
240,111L,112,0.0
240,111R,1,36.459232330322266
240,111R,2,0.0
240,111R,3,0.0
240,111R,4,0.0
240,111R,5,0.0
240,111R,6,0.0
240,111R,7,0.0
240,111R,8,0.0
240,111R,9,0.0
240,111R,10,0.0
240,111R,11,0.0
240,111R,12,0.0
240,111R,13,0.0
240,111R,14,0.0
240,111R,15,0.0
240,111R,16,0.0
240,111R,17,0.0
240,111R,18,0.0
240,111R,19,0.0
240,111R,20,0.0
240,111R,21,0.0
240,111R,22,0.0
240,111R,23,0.0
240,111R,24,0.0
240,111R,25,0.0
240,111R,26,0.0
240,111R,27,0.0
240,111R,28,0.0
240,111R,29,0.0
240,111R,30,0.0
240,111R,31,0.0
240,111R,32,0.0
240,111R,33,0.0
240,111R,34,0.0
240,111R,35,0.0
240,111R,36,0.0
240,111R,37,0.0
240,111R,38,0.0
240,111R,39,0.0
240,111R,40,0.0
240,111R,41,6.549100399017334
240,111R,42,0.0
240,111R,43,0.0
240,111R,44,0.0
240,111R,45,0.0
240,111R,46,0.0
240,111R,47,0.0
240,111R,48,0.0
240,111R,49,0.0
240,111R,50,0.0
240,111R,51,0.0
240,111R,52,0.0
240,111R,53,0.0
240,111R,54,0.0
240,111R,55,0.0
240,111R,56,0.0
240,111R,57,0.0
240,111R,58,0.0
