Subject,Experiment,Mouse ID,Hemisphere,ROI#,Xpos,Ypos
112R_052,112R,112,R,52,1453.82,570.694545454545
112R_053,112R,112,R,53,1489.54,662.43
112R_054,112R,112,R,54,1655.24111111111,696.165555555556
112R_055,112R,112,R,55,1507.4,819.110909090909
112R_056,112R,112,R,56,1398.454,812.454
112R_057,112R,112,R,57,1541.334,1060.708
112R_058,112R,112,R,58,1374.72571428571,997.942857142857
112R_059,112R,112,R,59,1164.488,910.684
112R_060,112R,112,R,60,1207.352,967.836
112R_061,112R,112,R,61,1300.73428571429,987.737142857143
112R_062,112R,112,R,62,1045.02444444444,951.166666666667
112R_063,112R,112,R,63,1194.03818181818,1085.38727272727
112R_064,112R,112,R,64,1053.756,1067.852
112R_065,112R,112,R,65,1194.03818181818,1085.38727272727
112R_066,112R,112,R,66,1105.55,1153.58
112R_067,112R,112,R,67,1007.32,1126.79
112R_068,112R,112,R,68,979.718181818182,1212.03090909091
112R_069,112R,112,R,69,1025.18,1305.39
112R_070,112R,112,R,70,1089.476,1335.752
112R_071,112R,112,R,71,1456.0525,1151.3475
112R_072,112R,112,R,72,1316.89333333333,1415.52666666667
112R_073,112R,112,R,73,1350.232,1467.916
112R_074,112R,112,R,74,1310.94,1600.08
112R_075,112R,112,R,75,1094.3875,1633.5675
112R_076,112R,112,R,76,880.676363636364,1624.43454545455
112R_077,112R,112,R,77,1045.02444444444,1826.30666666667
112R_078,112R,112,R,78,837.65,1832.26
112R_079,112R,112,R,79,1224.19142857143,1656.21142857143
112R_080,112R,112,R,80,963.945714285715,926.502857142857
112R_081,112R,112,R,81,1409.17,919.1675
112R_082,112R,112,R,82,1601.165,1064.28
112R_083,112R,112,R,83,1547.585,1274.135
112R_084,112R,112,R,84,1177.67692307692,358.123076923077
112R_085,112R,112,R,85,1677.75692307692,1260.74
112R_086,112R,112,R,86,1479.61777777778,732.877777777778
112R_087,112R,112,R,87,1357.07833333333,754.706666666667
112R_088,112R,112,R,88,1348.03384615385,1183.80461538462
112R_089,112R,112,R,89,894.206666666666,468.946666666667
112R_090,112R,112,R,90,1068.55428571429,439.18
112R_091,112R,112,R,91,1085.904,721.368
112R_092,112R,112,R,92,1407.384,685.648
112R_093,112R,112,R,93,1129.78857142857,1023.45714285714
112R_094,112R,112,R,94,694.77,912.47
112R_095,112R,112,R,95,1118.945,559.735
112R_096,112R,112,R,96,1198.67714285714,1304.11428571429
112R_097,112R,112,R,97,1040.06333333333,1138.69666666667
112R_098,112R,112,R,98,1662.18666666667,538.898333333333
112R_099,112R,112,R,99,1195.44533333333,1900.128
112R_100,112R,112,R,100,1443.89777777778,396.514444444445
112R_101,112R,112,R,101,1387.48285714286,582.06
112R_102,112R,112,R,102,1558.7475,534.06125
112R_103,112R,112,R,103,755.494,1780.466
112R_104,112R,112,R,104,1511.865,422.213
112R_105,112R,112,R,105,1602.951,465.077
112R_106,112R,112,R,106,1598.32363636364,695.714545454545
112R_107,112R,112,R,107,1541.13555555556,736.846666666667
112R_108,112R,112,R,108,1449.85111111111,851.944444444445
112R_109,112R,112,R,109,984.357142857143,1105.10285714286
112R_110,112R,112,R,110,903.92,1936.6
112R_111,112R,112,R,111,1508.17652173913,1607.06869565217
112R_112,112R,112,R,112,1761.75103448276,445.954482758621
112R_113,112R,112,R,113,1427.03,1292.49111111111
112R_114,112R,112,R,114,748.875294117647,1758.71882352941
112R_115,112R,112,R,115,1187.40833333333,1469.10666666667
112R_116,112R,112,R,116,1455.80444444444,1263.71666666667
113L_001,113L,113,L,1,-1390.66666666667,1148.83333333333
113L_002,113L,113,L,2,-1298.39,776.75
113L_003,113L,113,L,3,-1314.0175,1593.845
113L_004,113L,113,L,4,-1298.39,544.57
113L_005,113L,113,L,5,-1084.07,1660.82
113L_006,113L,113,L,6,-1207.304,548.737333333333
113L_007,113L,113,L,7,-1369.14307692308,1030.22461538462
113L_008,113L,113,L,8,-1388.68222222222,980.155555555555
113L_009,113L,113,L,9,-860.82,2066.49714285714
113L_010,113L,113,L,10,-1116.81333333333,744.006666666667
113L_011,113L,113,L,11,-1009.65333333333,755.913333333333
113L_012,113L,113,L,12,-716.749333333333,2145.42133333333
113L_013,113L,113,L,13,-932.26,1794.77
113L_014,113L,113,L,14,-726.87,1151.81
113L_015,113L,113,L,15,-1027.51333333333,2080.53
113L_016,113L,113,L,16,-1573.59636363636,1123.39636363636
113L_017,113L,113,L,17,-950.12,1655.71714285714
113L_018,113L,113,L,18,-1109.23636363636,1995.28909090909
113L_019,113L,113,L,19,-548.27,2080.53
113L_020,113L,113,L,20,-793.915873015873,2298.96063492064
113L_021,113L,113,L,21,-1566.29,714.24
113L_022,113L,113,L,22,-950.12,2122.62857142857
113L_023,113L,113,L,23,-1478.776,1103.588
113L_024,113L,113,L,24,-1657.8225,665.125
113L_025,113L,113,L,25,-985.84,553.5
113L_026,113L,113,L,26,-1168.012,440.982
113L_027,113L,113,L,27,-1155.51,1580.45
113L_028,113L,113,L,28,-692.936,603.508
113L_029,113L,113,L,29,-780.45,553.5
113L_030,113L,113,L,30,-932.26,946.42
113L_031,113L,113,L,31,-956.073333333333,720.193333333333
113L_032,113L,113,L,32,-1155.51,821.4
113L_033,113L,113,L,33,-1226.95,857.12
113L_034,113L,113,L,34,-1596.05666666667,922.606666666667
113L_035,113L,113,L,35,-1319.22666666667,922.606666666667
113L_036,113L,113,L,36,-1226.95,964.28
113L_037,113L,113,L,37,-998.597142857143,1107.16
113L_038,113L,113,L,38,-860.82,1317.015
113L_039,113L,113,L,39,-557.2,1321.48
113L_040,113L,113,L,40,-208.93,1759.05
113L_041,113L,113,L,41,-583.99,1455.43
113L_042,113L,113,L,42,-732.823333333333,1449.47666666667
113L_043,113L,113,L,43,-825.1,1505.18285714286
113L_044,113L,113,L,44,-959.05,1348.27
113L_045,113L,113,L,45,-1423.41,1232.18
113L_046,113L,113,L,46,-1298.39,1241.11
113L_047,113L,113,L,47,-1265.64666666667,1315.52666666667
113L_048,113L,113,L,48,-1051.922,1351.842
113L_049,113L,113,L,49,-994.77,1410.78
113L_050,113L,113,L,50,-1015.60666666667,1529.84666666667
113L_051,113L,113,L,51,-914.4,1562.59
113L_052,113L,113,L,52,-801.286666666667,1666.77333333333
113L_053,113L,113,L,53,-691.15,1830.49
113L_054,113L,113,L,54,-470.876666666667,764.843333333333
113L_055,113L,113,L,55,-983.288571428571,1594.48285714286
113L_056,113L,113,L,56,-638.845714285714,1135.22571428571
113L_057,113L,113,L,57,-377.111666666667,1214.32
113L_058,113L,113,L,58,-1396.62,1375.06
113L_059,113L,113,L,59,-1489.88888888889,1271.86888888889
