stimulus,subject,rep,descriptor,value
D2,117,1,perfumery,0
D2,117,1,floral,0
D2,117,1,cologne,0
D2,117,1,aromatic,0
D2,117,1,musky,3
D2,117,1,incense,0
D2,117,1,sweaty,0
D2,117,1,light,0
D2,117,1,heavy,0
D2,117,1,cool,0
D2,117,1,warm,0
D2,117,1,fruity other,0
D2,117,1,vanilla,0
D2,117,1,musty moldy,0
D2,117,1,rose,0
D2,117,1,violets,0
D2,117,1,lavender,0
D2,117,2,sweet,0
D2,117,2,fragrant,0
D2,117,2,perfumery,0
D2,117,2,floral,0
D2,117,2,cologne,0
D2,117,2,aromatic,0
D2,117,2,musky,5
D2,117,2,incense,0
D2,117,2,sweaty,0
D2,117,2,light,0
D2,117,2,heavy,0
D2,117,2,cool,0
D2,117,2,warm,0
D2,117,2,fruity other,0
D2,117,2,vanilla,0
D2,117,2,musty moldy,0
D2,117,2,rose,0
D2,117,2,violets,0
D2,117,2,lavender,0
D2,118,1,sweet,0
D2,118,1,fragrant,0
D2,118,1,perfumery,3
D2,118,1,floral,0
D2,118,1,cologne,0
D2,118,1,aromatic,0
D2,118,1,musky,0
D2,118,1,incense,0
D2,118,1,sweaty,0
D2,118,1,light,5
D2,118,1,heavy,0
D2,118,1,cool,0
D2,118,1,warm,0
D2,118,1,fruity other,0
D2,118,1,vanilla,0
D2,118,1,musty moldy,0
D2,118,1,rose,0
D2,118,1,violets,0
D2,118,1,lavender,0
D2,118,2,sweet,3
D2,118,2,fragrant,3
D2,118,2,perfumery,0
D2,118,2,floral,0
D2,118,2,cologne,0
D2,118,2,aromatic,3
D2,118,2,musky,1
D2,118,2,incense,0
D2,118,2,sweaty,0
D2,118,2,light,4
D2,118,2,heavy,0
D2,118,2,cool,0
D2,118,2,warm,0
D2,118,2,fruity other,0
D2,118,2,vanilla,0
D2,118,2,musty moldy,0
D2,118,2,rose,0
D2,118,2,violets,0
D2,118,2,lavender,4
D2,124,1,sweet,0
D2,124,1,fragrant,0
D2,124,1,perfumery,0
D2,124,1,floral,0
D2,124,1,cologne,0
D2,124,1,aromatic,0
D2,124,1,musky,0
D2,124,1,incense,0
D2,124,1,sweaty,0
D2,124,1,light,0
D2,124,1,heavy,0
D2,124,1,cool,0
D2,124,1,warm,0
D2,124,1,fruity other,0
D2,124,1,vanilla,0
D2,124,1,musty moldy,0
D2,124,1,rose,0
D2,124,1,violets,0
D2,124,1,lavender,0
D2,124,2,sweet,0
D2,124,2,fragrant,0
D2,124,2,perfumery,0
D2,124,2,floral,0
D2,124,2,cologne,0
D2,124,2,aromatic,0
D2,124,2,musky,0
D2,124,2,incense,0
D2,124,2,sweaty,0
D2,124,2,light,0
D2,124,2,heavy,0
D2,124,2,cool,0
D2,124,2,warm,0
D2,124,2,fruity other,0
D2,124,2,vanilla,0
D2,124,2,musty moldy,0
D2,124,2,rose,0
D2,124,2,violets,0
D2,124,2,lavender,0
D2,125,1,sweet,2
D2,125,1,fragrant,3
D2,125,1,perfumery,0
D2,125,1,floral,0
D2,125,1,cologne,0
D2,125,1,aromatic,0
D2,125,1,musky,5
D2,125,1,incense,0
