behavioral scores raw,,,,,,,,,,,,,,,,,,
,dC/H (s),fC/H,1'dOI (s),3'dOI (s),1'fOI,3'fOI,1'Z3 (s),3'Z3 (s),1'Z1 (s),3'Z1 (s),RAS,WAA,dSGR (s) ,fSGR,dDIG (s) ,fDIG,REA,DIT (m)
EDM,9.59,2,1.05,8.95,3,11,NA,NA,NA,NA,6,3,11.29,5,0.47,2,17,4.80949
EDM,0,0,1.29,1.99,3,4,10.90,23.26,39.92,142.70,5,3,0.00,0,0.00,0,5,1.80794
EDM,0,0,2.41,7.91,5,15,16.22,58.28,26.07,80.70,10,8,0.72,3,10.35,13,18,6.10519
EUC,0,0,1.89,5,4,7,19.48,61.23,30.50,86.62,8,8,4.60,2,6.33,12,22,5.80236
EUC,0,0,1.69,6.74,4,15,18.26,45.74,24.25,84.50,17,13,0.60,2,18.25,11,33,7.4592
EUC,0,0,3.38,5.81,7,13,23.97,61.66,24.72,77.20,11,10,11.81,8,11.55,12,24,7.29569
EUC,0,0,1.69,3.84,2,7,18.96,63.19,29.11,86.34,9,7,1.68,6,0.15,1,41,7.37685
EUC,0,0,1.21,5.84,3,11,15.75,59.16,23.62,58.71,10,8,2.41,4,1.18,2,46,7.73999
EUG,0,0,2.13,5.48,4,11,23.86,63.07,23.14,98.46,5,4,0.00,0,0.00,0,38,6.70523
EUG,0,0,2.71,11.25,4,13,25.63,71.21,19.25,61.70,11,4,0.00,0,2.15,4,37,6.5118
EUG,0,0,2.89,7.63,5,11,27.54,67.87,15.51,55.11,6,2,15.32,3,3.62,8,25,5.3823
EUG,0,0,2.25,7.25,6,18,23.23,77.54,21.18,59.66,15,13,7.50,2,1.33,4,22,6.64374
EUG,0,0,2.41,13.47,3,11,17.35,77.67,23.82,61.35,7,3,3.02,2,4.28,7,25,4.67555
FAR,0,0,4.16,11.06,9,14,27.18,75.22,23.26,73.19,10,5,8.70,5,3.38,4,16,4.63041
FAR,13.5,1,6.94,14.2,3,11,16.98,73.37,30.32,63.09,3,1,10.51,7,0.00,0,17,3.41289
FAR,0,0,9.11,17.77,6,13,34.19,79.55,13.24,50.60,9,7,11.85,8,0.00,0,15,4.62628
FAR,8.47,1,2.87,16.14,4,14,27.87,95.95,19.50,49.86,11,9,0.28,1,0.00,0,12,4.64289
FAR,13.28,3,3.87,13.55,6,14,22.46,85.64,21.22,65.31,8,3,1.54,5,0.00,0,11,3.01472
GER,0,0,2.03,5.12,3,6,24.20,43.34,22.71,87.91,7,7,0.65,2,1.41,2,32,5.20623
GER,3.81,1,5.02,8.56,5,8,27.47,60.37,21.21,85.58,4,2,8.81,4,2.21,5,15,3.59078
GER,4.12,3,3.90,9.1,4,9,25.44,69.44,18.60,88.82,6,5,0.63,2,0.78,1,32,6.72905
GER,0.19,1,0.00,7.62,0,2,0.60,47.65,58.05,120.55,2,1,0.41,2,0.00,0,9,1.7792
GER,9.45,5,5.54,12.48,5,12,28.40,76.26,15.88,65.63,6,5,4.69,2,0.00,0,15,3.68848
H2O,2.4,1,3.73,5.39,4,8,31.47,69.34,19.01,67.15,5,1,2.87,1,1.55,3,28,4.13081
H2O,1.87,2,5.42,7.76,7,14,29.63,88.64,24.51,70.08,9,1,4.35,5,0.00,0,22,3.92776
H2O,20.59,3,4.77,9.2,4,11,31.94,85.51,7.98,33.50,5,1,26.76,4,1.86,2,11,2.61891
H2O,23.03,5,5.90,6.69,5,12,NA,NA,NA,NA,3,2,2.41,3,0.00,0,23,4.68942
H2O,5.62,1,4.78,6.65,5,9,31.77,75.82,17.38,69.86,5,3,1.00,2,0.91,5,30,5.39664
H2O,6.41,2,3.82,7.55,3,10,NA,NA,NA,NA,8,5,0.00,0,0.74,4,26,5.84471
H2O,0,0,3.30,6.71,4,8,25.97,75.48,26.57,71.90,6,4,10.78,3,4.66,5,18,4.46299
H2O,4.75,1,4.49,7.55,5,10,29.59,80.23,15.11,61.86,4,3,3.32,5,3.38,10,20,5.53989
H2O,5.87,4,3.13,8.42,2,11,18.21,64.84,36.62,76.67,3,3,0.00,0,0.84,2,22,4.01221
HEP,0,0,1.59,2.98,5,9,17.64,45.81,34.00,102.17,5,2,0.56,2,1.41,3,32,6.34709
HEP,1.28,1,1.09,5.32,2,7,15.32,58.17,36.04,94.06,4,3,0.21,1,6.98,8,14,3.73365
HEP,6.91,1,1.59,6.53,3,8,16.15,55.88,28.28,84.62,6,4,1.78,6,1.85,1,25,5.73094
HEP,25.47,1,0.98,8.36,2,9,NA,NA,NA,NA,9,7,23.63,4,0.00,0,9,4.32984
HEP,0,0,0.94,5.83,3,12,18.99,53.14,30.19,81.69,16,15,3.85,5,0.00,0,19,6.48026
HEP,0,0,0.22,4.9,1,7,23.77,59.05,25.90,78.63,10,9,2.44,4,1.84,4,11,3.88046
HEP,0,0,0.43,9.95,2,12,31.89,96.91,17.83,53.87,10,8,2.40,5,1.40,2,14,4.35142
HEP,0,0,1.16,5.64,3,11,19.08,56.04,28.20,80.56,13,12,0.88,2,0.47,1,20,5.70401
HEP,0,0,1.22,4.1,2,5,9.29,61.04,45.48,110.04,5,5,2.34,4,0.00,0,6,2.1261
HPN,0,0,1.00,5.18,2,7,13.18,50.14,34.28,96.59,6,4,11.10,6,9.11,15,28,5.56869
HPN,0,0,0.35,6.51,1,11,13.11,53.61,34.78,91.38,17,13,0.85,3,11.09,19,40,5.96798
HPN,0,0,2.06,5.98,4,9,11.45,53.32,35.95,87.86,8,6,0.00,0,3.77,6,33,6.42343
HPN,0,0,1.47,7.99,2,11,18.10,63.02,28.69,75.75,2,2,0.00,0,2.50,4,38,6.53368
HPN,0,0,0.00,3.24,0,6,18.71,61.80,32.63,78.78,8,7,1.11,4,7.85,17,27,6.26905
HPO,0,0,1.91,4.89,5,10,22.36,63.07,20.35,49.13,8,7,14.00,8,2.94,3,36,5.76633
HPO,0,0,1.47,4.37,5,11,19.44,45.69,23.38,87.93,18,15,1.22,2,0.00,0,26,5.79432
HPO,0,0,1.50,2.94,1,5,13.94,36.43,42.08,116.18,5,5,4.44,5,0.00,0,24,4.56313
HPO,0,0,0.81,8.06,2,13,14.27,61.53,30.39,72.75,15,14,0.00,0,0.00,0,32,7.44969
