Stimulus,Type,Experiment,CID,ID,Compared To ID,ID In Exp 1,ID In Exp 2,Dilution1,Dilution2,Dilution3
311,mixture,"Exp4,5",6590;31244;176;180;61138;8025;19310;7793;443158;12020;527;263;1032;6569;84682;8063;7895;11173;261;5284503;5318042;637566;638011;637776;10890;31266;3314;8842;10430,M27,M37,27,,100.00%,,
312,mixture,"Exp4,5",1031;176;7363;7150;8025;6561;7793;11552;527;6584;1032;10448;7895;7284;11173;5284503;637566;638011;10890;8842,M28,M38,28,,100.00%,,
313,mixture,"Exp4,5",6590;31244;3776;7150;6561;7793;443158;264;12020;527;263;9609;8063;6276;8857;7895;7284;261;5318042;8103;638011;24915;31266;3314;10430,M29,M39,29,,100.00%,,
314,mixture,"Exp4,5",7799;1031;176;3776;7793;22386;9609;8063;7895;11173;5318042;638011;31266;10430,M30,M40,30,,100.00%,,
315,mixture,"Exp4,5",6590;31244;1031;180;7363;61138;264;22386;527;263;10448;7284;5318042;8103;637776;10890;31266;3314,M31,M21,31,,100.00%,,
316,mixture,"Exp4,5",7799;180;3776;7363;61138;8025;19310;6561;7793;264;12020;22386;527;263;6584;8063;8857;7895;7284;5284503;8103;638011;10890;24915;31266;3314;8842,M32,M22,32,,100.00%,,
317,mixture,"Exp4,5",1068;6590;1031;3776;7150;14286;19310;12020;8063;6276;8857;7284;5318042;8103;637566;638011;10890;3314;8842,M33,M23,33,,100.00%,,
318,mixture,"Exp4,5",6590;7150;14286;61138;7793;443158;11552;22386;263;9609;84682;8063;8857;31266,M34,M24,34,,100.00%,,
319,mixture,"Exp4,5",7799;1068;6590;31244;176;180;7150;61138;8025;6561;443158;22386;62336;527;9609;1032;6569;84682;6276;10448;8857;7895;11173;5284503;5318042;8103;637566;638011;637776;10890,M35,M25,35,,100.00%,,
320,mixture,"Exp4,5",180;7363;1032;5284503;8103;637776;10890;24915;3314;10430,M36,M26,36,,100.00%,,
321,mixture,"Exp4,5",31244;3776;61138;19310;7793;12020;263;9609;6569;84682;8857;7284;5318042,M37,M27,37,,100.00%,,
322,mixture,"Exp4,5",7799;1068;6590;1031;176;61138;19310;7793;443158;11552;22386;9609;8063;6276;10448;8857;7895;11173;261;5284503;5318042;8103;637566;637776;24915;3314,M38,M28,38,,100.00%,,
323,mixture,"Exp4,5",31244;1031;176;3776;443158;11552;22386;527;6584;6569;84682;8063;6276;8857;261;5284503;5318042;8103;638011;637776;31266,M39,M29,39,,100.00%,,
324,mixture,"Exp4,5",7799;1031;176;180;14286;8025;6561;7793;264;11552;12020;22386;263;6584;84682;8063;5284503;5318042;8103;3314;10430,M40,M30,40,,100.00%,,
325,mixture,"Exp4,5",7799;31244;7150;14286;8025;19310;7793;443158;11552;12020;22386;62336;527;84682;8063;6276;10448;7284;5284503;5318042;8103;637566;638011;24915;31266;10430,M41,M51,41,,100.00%,,
326,mixture,"Exp4,5",7799;1068;31244;1031;176;7150;61138;7793;443158;11552;22386;527;263;6584;1032;84682;8063;6276;7284;11173;5318042;8103;637566;638011;637776;3314;8842;10430,M42,M52,42,,100.00%,,
327,mixture,"Exp4,5",7799;1068;6590;1031;180;3776;7363;7150;14286;61138;8025;19310;6561;7793;443158;11552;12020;22386;62336;6584;6569;10448;7895;7284;11173;638011;637776;10890;8842;10430,M43,M53,43,,100.00%,,
328,mixture,"Exp4,5",7799;1068;6590;31244;180;7150;8025;19310;6561;443158;264;12020;527;263;8063;6276;10448;8857;11173;261;5284503;5318042;637566;638011;637776;10890;24915;10430,M44,M54,44,,100.00%,,
