smiles,regression_pred_pKd
CC(=O)CCSCCC(C)=O,4.910139403331977
CCCCC1(CCCC)CCC(=O)O1,5.745829868364174
CCCCSSCCCC,4.8966499106163885
CCCCOC(=O)CC(O)C(=O)OCCCC,5.469923985437743
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,4.681797506271413
CCCCOC(=O)CCC(=O)OCCCC,5.355938435926399
CCCCSSSCCCC,4.892842877756307
C1CCC(SSC2CCCCC2)CC1,3.028866555345983
CCOC(OCC)C(=O)CC,4.9888019824555645
CCOCOCC,3.1628584419934285
CCOC(OCC)C(C)CC,4.3073942712373405
C=CC(OCC)OCC,5.309741555725665
