smiles,regression_logP
COc1cc(/C=C/C(C)=O)ccc1O,2.003
C=Cc1ccc(O)cc1,2.0352
O=C1CCSC1,0.6924
C/C=C(\C)C(=O)OCCC(C)C,2.541900000000001
Cc1ccc(C)c(O)c1,2.00904
CC(=O)/C=C/C=C(\C)CCC=C(C)C,3.8243000000000023
CCCCCCC1OCCO1,2.3297
O=Cc1ccc2c(c1)OCO2,1.2278
CCCC/C=C/CCCCC(=O)OCCC(C)C,4.882500000000005
CC/C=C\CCO,1.335
CCCCCOC(=O)CCCC,2.910000000000001
CC(C)=CCC/C(C)=C/C(=O)OCCC(C)C,4.268400000000003
CCCCCCC(C=O)=Cc1ccccc1,4.2393000000000045
CCCCCCOC(=O)C(C)(C)C,3.156000000000001
CC(=O)OC1CCCCC1,1.8822
C/C=C/C(=O)C1C(C)=CCCC1(C)C,3.5141000000000027
C=CC(C)CCCC(C)(C)O,2.749700000000001
COC1CC2CC1C1CC(C=O)CC21,1.8825
COc1ccccc1C=CC=O,1.9073
CCOC(=O)CC(O)c1ccccc1,1.6731999999999998
COc1ccccc1C=O,1.5076999999999998
O=C(/C=C/c1ccccc1)OCCc1ccccc1,3.4857000000000022
CC(=O)OC(C)(C)C1CCC(C)CC1,3.1544000000000016
CCC(=O)/C=C/C1C(C)=CCCC1(C)C,3.904200000000003
COc1cc(CCC(C)=O)ccc1O,1.9224
CC=Cc1ccc(OCC)c(O)c1,2.8240000000000007
C=C1C2CCC(C2)C1(C)C,2.9987000000000013
COC(=O)c1ccccc1N=CC(C)Cc1ccc(C(C)(C)C)cc1,5.351800000000004
CC1CCC(C(C)(C)O)CC1,2.583600000000001
Cc1c[nH]c2ccccc12,2.4763200000000003
C=C(C)C1CCC2=CCCC(C)C2(C)C1,4.7252000000000045
CC1=CCC2CC1C2(C)C,2.9987000000000013
CCCC1CCCC(=O)O1,1.8822
CC1(C)[C@H]2CC[C@](C)(O)[C@@H]1C2,2.1935
CCC1CCC(=O)O1,1.102
