Test UID,Components in mixtures,Components that differ,% mixture overlap,Stimulus dilution,Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subject 1,subject 2,subject 3,subject 4,subject 5,subject 6,subject 7,subject 8,subject 9,subject 10,subject 11,subject 12,subject 13,subject 14,subject 15,subject 16,subject 17,subject 18,subject 19,subject 20,subject 21,subject 22,subject 23,subject 24,subject 25,subject 26
149,30,30,0,not diluted,right,furfuryl mercaptan,phenyl acetic acid,decan-2-one,thiophene,methyl propanoate,hydroxy citronellal,methyl anthranilate,phenyl acetylene,"2,4-trans-trans-decadienal",butanal, 1-Isopropyl-4-methylbenzene,methyl octanoate,decanoic acid,4-pentenoic acid,pentyl acetate,acetaldehyde,(methyldisulfanyl) methane,acetophenone,butyl sulfide,gamma-undecalactone,"2,3-dimethyl pyrazine",cuminic aldehyde,propane-1-thiol,iso-valeric acid,anisole,dimethyl benzyl carbinyl butyrate,hexyl hexanoate,2-methylpropanal,gamma-valerolactone,l-menthol,,,,,,,,,,,,,,,,,,,,,,,,,,
152,30,30,0,not diluted,wrong,methyl anthranilate,p-cresyl-iso-butyrate,ethyl butyrate,2-methylpropanoic acid,cyclohexanol,geraniol,hexyl hexanoate,gamma-undecalactone,butyl acetate,skatole,_-terpineol,(methyldisulfanyl) methane,guaiacol,propyl sulfide,4-ethyl guaiacol,pentyl valerate,dimethyl benzyl carbinyl butyrate,l-menthol,anisole,cuminic aldehyde,propane-1-thiol,undecanal,undecylenic acid,phenyl acetylene,butanoic acid,ortho-tolualdehyde,acetaldehyde,caryophyllene,pentyl acetate,iso-bornyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,
152,30,30,0,1/2,wrong,methyl anthranilate,p-cresyl-iso-butyrate,ethyl butyrate,2-methylpropanoic acid,cyclohexanol,geraniol,hexyl hexanoate,gamma-undecalactone,butyl acetate,skatole,_-terpineol,(methyldisulfanyl) methane,guaiacol,propyl sulfide,4-ethyl guaiacol,pentyl valerate,dimethyl benzyl carbinyl butyrate,l-menthol,anisole,cuminic aldehyde,propane-1-thiol,undecanal,undecylenic acid,phenyl acetylene,butanoic acid,ortho-tolualdehyde,acetaldehyde,caryophyllene,pentyl acetate,iso-bornyl acetate,right,wrong,right,right,right,right,right,wrong,wrong,right,wrong,wrong,right,wrong,right,right,wrong,wrong,right,right,wrong,right,right,right,right,right
152,30,30,0,1/4,right,pent-1-en-3-ol,butane-2-thiol,hexanoic acid,ethyl benzoate,gamma-nonalactone,4-pentenoic acid,p-cresyl acetate,musk galaxolide,eugenol,dimethyl trisulfide,thymol,decanoic acid,chlorothymol,propan-2-ol,methylsulfanylmethane,ethyl hexanoate,heptan-2-one,"(3S)-3,7-dimethyloct-6-en-1-ol",2-phenylethyl acetate,propan-1-ol,4-Methyl-3-penten-2-one,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",muguet carbinol,ortho-acetyl pyridine,methyl butanoate,acetic acid,thiophene,2-oxopropanoic acid,benzaldehyde,ethyl decanoate,,,,,,,,,,,,,,,,,,,,,,,,,,
155,30,30,0,not diluted,wrong,4-pentenoic acid,1-octen-3-ol,phenyl acetic acid,methyl benzoate,butyl sulfide,decanoic acid,"2,4-trans-trans-decadienal",iso-valeric acid,ortho-acetyl pyridine,ethyl pentanoate,butanoic acid,acetaldehyde,trans-2-hexenal,amyl butyrate,methyl salicylate,limonene,ethyl formate,methyl octanoate,undecylenic acid,furfuryl mercaptan,celeriax,musk galaxolide,diethyl butanedioate,melonal,l-menthol,2-oxopropanoic acid,S-(methyl thio) butyrate,alpha-pinene,guaiacol,pentanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,
155,30,30,0,1/4,wrong,4-pentenoic acid,1-octen-3-ol,phenyl acetic acid,methyl benzoate,butyl sulfide,decanoic acid,"2,4-trans-trans-decadienal",iso-valeric acid,ortho-acetyl pyridine,ethyl pentanoate,butanoic acid,acetaldehyde,trans-2-hexenal,amyl butyrate,methyl salicylate,limonene,ethyl formate,methyl octanoate,undecylenic acid,furfuryl mercaptan,celeriax,musk galaxolide,diethyl butanedioate,melonal,l-menthol,2-oxopropanoic acid,S-(methyl thio) butyrate,alpha-pinene,guaiacol,pentanoic acid,right,right,wrong,right,right,wrong,wrong,right,right,right,right,right,right,right,right,right,wrong,right,wrong,right,right,wrong,right,right,right,right
155,30,30,0,1/2,right,para-methyl quinoline,2-hydroxypropanoic acid,nonyl acetate,methyl butanoate,laevo-beta-pinene,pentan-2-ol,p-cresol,butyl acetate,indole,cinnamic aldehyde,3-hexanol,4-methoxybenzaldehyde,"2,3-dimethyl pyrazine",octanal,bis(methylsulfanyl)methane,thiolane,chlorothymol,2-methylpropanoic acid,eugenol,ethyl propionate,p-cresyl acetate,heptanal,2-phenylethyl acetate,propane-1-thiol,ethyl butyrate,toluene,1-hexanol,eucalyptol,pentyl acetate,methylsulfanylmethane,,,,,,,,,,,,,,,,,,,,,,,,,,
169,30,30,0,1/2,wrong,butanoic acid,pentan-2-ol,thiolane,propan-2-one,ethyl 2-hydroxypropanoate,ethyl decanoate,4-Methyl-3-penten-2-one,ethyl formate,anisole,l-menthol,pentyl acetate,para-methyl quinoline,skatole,methyl salicylate,octanal,butyl acetate,thiophene,phenyl acetylene,butanal,iso-bornyl acetate,pentyl valerate,toluene,"(3S)-3,7-dimethyloct-6-en-1-ol",undecylenic acid,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",dimethyl benzyl carbinyl butyrate,geraniol,limonene,propan-2-ol,phenyl ethanol,,,,,,,,,,,,,,,,,,,,,,,,,,
169,30,30,0,1/4,wrong,butanoic acid,pentan-2-ol,thiolane,propan-2-one,ethyl 2-hydroxypropanoate,ethyl decanoate,4-Methyl-3-penten-2-one,ethyl formate,anisole,l-menthol,pentyl acetate,para-methyl quinoline,skatole,methyl salicylate,octanal,butyl acetate,thiophene,phenyl acetylene,butanal,iso-bornyl acetate,pentyl valerate,toluene,"(3S)-3,7-dimethyloct-6-en-1-ol",undecylenic acid,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",dimethyl benzyl carbinyl butyrate,geraniol,limonene,propan-2-ol,phenyl ethanol,right,right,right,right,right,wrong,right,wrong,right,right,wrong,right,wrong,right,right,right,wrong,right,right,wrong,wrong,right,right,wrong,right,right
169,30,30,0,not diluted,right,dibutyl amine,ortho-tolualdehyde,hexanoic acid,butane-2-thiol,methylsulfanylmethane,"2,4-trans-trans-decadienal",amyl butyrate,gamma-nonalactone,4-methyl anisole,butyl sulfide,trimethyl amine,nonyl acetate,diphenyl oxide,alpha-pinene,diethyl butanedioate,"2,3-dimethyl pyrazine",musk galaxolide,methyl benzoate,ethyl butyrate,methyl propanoate,bis(methylsulfanyl)methane,1-hexanol,strawberry aldehyde,4-pentenoic acid,benzaldehyde,gamma-valerolactone,hexan-3-one,2-hydroxypropanoic acid,caryophyllene,1-octen-3-ol,,,,,,,,,,,,,,,,,,,,,,,,,,
188,30,30,0,1/2,wrong,S-(methyl thio) butyrate,iso-valeraldehyde,dibutyl amine,propyl sulfide,bis(methylsulfanyl)methane,alpha-pinene,linalool,thymol,methyl salicylate,butanoic acid,ethyl pentanoate,2-oxopropanoic acid,phenyl acetic acid,l-menthol,limonene,iso-bornyl acetate,butanal,thiophene,p-cresyl-iso-butyrate,pentanoic acid,eugenol,acetaldehyde,phenyl ethanol,acetoin,hexyl hexanoate,skatole,methyl butanoate,undecanal,laevo-beta-pinene,2-phenyl propionaldehyde dimethyl acetal,,,,,,,,,,,,,,,,,,,,,,,,,,
188,30,30,0,1/4,wrong,S-(methyl thio) butyrate,iso-valeraldehyde,dibutyl amine,propyl sulfide,bis(methylsulfanyl)methane,alpha-pinene,linalool,thymol,methyl salicylate,butanoic acid,ethyl pentanoate,2-oxopropanoic acid,phenyl acetic acid,l-menthol,limonene,iso-bornyl acetate,butanal,thiophene,p-cresyl-iso-butyrate,pentanoic acid,eugenol,acetaldehyde,phenyl ethanol,acetoin,hexyl hexanoate,skatole,methyl butanoate,undecanal,laevo-beta-pinene,2-phenyl propionaldehyde dimethyl acetal,wrong,wrong,wrong,right,right,wrong,wrong,right,right,wrong,wrong,wrong,wrong,right,right,wrong,wrong,right,right,right,right,right,wrong,right,right,right
188,30,30,0,not diluted,right,decan-2-one,celeriax,phenyl acetylene,para-methyl quinoline,gamma-nonalactone,ethyl octanoate,methyl benzoate,diethyl butanedioate,4-ethyl guaiacol,cyclohexanol,propan-1-ol,dimethyl trisulfide,ethyl propionate,cuminic aldehyde,4-methoxybenzaldehyde, 1-Isopropyl-4-methylbenzene,indole,heptan-2-one,"2,4-trans-trans-decadienal",methyl propanoate,heptanal,pentan-2-ol,iso-phorone,caryophyllene,strawberry aldehyde,geraniol,methyl octanoate,ethyl decanoate,furfuryl mercaptan,anisole,,,,,,,,,,,,,,,,,,,,,,,,,,
203,30,30,0,not diluted,wrong,2-ethyl pyrazine,iso-phorone,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",strawberry aldehyde,alpha-pinene,phenyl ethanol,methylsulfanylmethane,amyl butyrate,p-cresyl acetate,para-methyl quinoline,nonan-2-ol,chlorothymol,p-cresyl-iso-butyrate,thymol,dimethyl trisulfide,musk galaxolide,undecylenic acid,heptan-2-one,phenyl acetic acid,2-phenylethyl acetate,acetoin,undecanal,furfuryl mercaptan,butyl sulfide,"(3S)-3,7-dimethyloct-6-en-1-ol",1-hexanol,methyl benzoate,hydroxy citronellal,diphenyl oxide,butyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,
203,30,30,0,1/4,wrong,2-ethyl pyrazine,iso-phorone,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",strawberry aldehyde,alpha-pinene,phenyl ethanol,methylsulfanylmethane,amyl butyrate,p-cresyl acetate,para-methyl quinoline,nonan-2-ol,chlorothymol,p-cresyl-iso-butyrate,thymol,dimethyl trisulfide,musk galaxolide,undecylenic acid,heptan-2-one,phenyl acetic acid,2-phenylethyl acetate,acetoin,undecanal,furfuryl mercaptan,butyl sulfide,"(3S)-3,7-dimethyloct-6-en-1-ol",1-hexanol,methyl benzoate,hydroxy citronellal,diphenyl oxide,butyl acetate,wrong,wrong,wrong,right,wrong,right,right,wrong,wrong,right,wrong,right,wrong,right,right,right,right,right,right,right,right,right,right,right,right,right
203,30,30,0,1/2,right,S-(methyl thio) butyrate,hexanoic acid,"2,4-trans-trans-decadienal",acetophenone,iso-pentyl phenyl acetate,ethyl 2-hydroxypropanoate,pentyl valerate,ethyl benzoate,cuminic aldehyde,l-menthol,phenyl acetylene,methyl octanoate,pent-1-en-3-ol,propan-2-one,acetic acid,guaiacol,4-Methyl-3-penten-2-one,hexanal,acetaldehyde,4-pentenoic acid, 1-Isopropyl-4-methylbenzene,limonene,bis(methylsulfanyl)methane,trimethyl amine,caryophyllene,propan-2-ol,eucalyptol,isoamyl acetate,gamma-valerolactone,iso-valeric acid,,,,,,,,,,,,,,,,,,,,,,,,,,
204,30,30,0,not diluted,wrong,iso-phorone,p-cresyl-iso-butyrate,1-hexanol,thiolane,4-ethyl guaiacol,iso-pentyl phenyl acetate,decanoic acid,2-phenylethyl acetate, 1-Isopropyl-4-methylbenzene,iso-valeric acid,2-ethyl pyrazine,melonal,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",dimethyl trisulfide,undecanal,iso-valeraldehyde,acetophenone,eucalyptol,geraniol,thymol,2-hydroxypropanoic acid,dibutyl amine,cinnamic aldehyde,decan-2-one,pentanoic acid,phenyl ethanol,pentyl valerate,2-methylpropanoic acid,guaiacol,skatole,,,,,,,,,,,,,,,,,,,,,,,,,,
204,30,30,0,1/4,wrong,iso-phorone,p-cresyl-iso-butyrate,1-hexanol,thiolane,4-ethyl guaiacol,iso-pentyl phenyl acetate,decanoic acid,2-phenylethyl acetate, 1-Isopropyl-4-methylbenzene,iso-valeric acid,2-ethyl pyrazine,melonal,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",dimethyl trisulfide,undecanal,iso-valeraldehyde,acetophenone,eucalyptol,geraniol,thymol,2-hydroxypropanoic acid,dibutyl amine,cinnamic aldehyde,decan-2-one,pentanoic acid,phenyl ethanol,pentyl valerate,2-methylpropanoic acid,guaiacol,skatole,right,wrong,right,wrong,right,right,wrong,right,right,right,wrong,right,right,right,right,right,right,right,wrong,wrong,right,right,right,right,wrong,right
204,30,30,0,1/2,right,dimethyl benzyl carbinyl butyrate,chlorothymol,hexan-3-one,acetaldehyde,trimethyl amine,4-methoxybenzaldehyde,ethyl hexanoate,methyl propanoate,heptanal,bis(methylsulfanyl)methane,eugenol,ethyl 2-hydroxypropanoate,anisole,propan-2-one,alpha-pinene,4-methyl anisole,propan-1-ol,laevo-beta-pinene,ortho-tolualdehyde,hexanoic acid,l-menthol,(methyldisulfanyl) methane,"(3S)-3,7-dimethyloct-6-en-1-ol",octanal,methyl benzoate,propyl sulfide,gamma-valerolactone,pentyl acetate,toluene,methyl octanoate,,,,,,,,,,,,,,,,,,,,,,,,,,
235,30,30,0,1/2,wrong,eucalyptol,methyl butanoate,p-cresyl-iso-butyrate,pentyl acetate,geraniol,butanoic acid,1-hexanol,cyclohexanol,4-methoxybenzaldehyde,octanal,eugenol,ethyl pentanoate,gamma-nonalactone,l-menthol,2-methylpropanoic acid,propan-2-ol,strawberry aldehyde,thiolane,para-methyl quinoline,methyl anthranilate,propyl sulfide,gamma-undecalactone,(methyldisulfanyl) methane,phenyl acetic acid,ortho-acetyl pyridine,decan-2-one, 1-Isopropyl-4-methylbenzene,propan-1-ol,laevo-beta-pinene,alpha-pinene,,,,,,,,,,,,,,,,,,,,,,,,,,
235,30,30,0,not diluted,wrong,eucalyptol,methyl butanoate,p-cresyl-iso-butyrate,pentyl acetate,geraniol,butanoic acid,1-hexanol,cyclohexanol,4-methoxybenzaldehyde,octanal,eugenol,ethyl pentanoate,gamma-nonalactone,l-menthol,2-methylpropanoic acid,propan-2-ol,strawberry aldehyde,thiolane,para-methyl quinoline,methyl anthranilate,propyl sulfide,gamma-undecalactone,(methyldisulfanyl) methane,phenyl acetic acid,ortho-acetyl pyridine,decan-2-one, 1-Isopropyl-4-methylbenzene,propan-1-ol,laevo-beta-pinene,alpha-pinene,right,wrong,right,right,wrong,right,right,wrong,right,right,right,right,right,right,right,right,wrong,wrong,right,right,right,wrong,right,right,right,right
235,30,30,0,1/4,right,4-methyl anisole,nonan-2-ol,dimethyl trisulfide,hexanoic acid,propan-2-one,S-(methyl thio) butyrate,methyl propanoate,phenyl ethanol,methylsulfanylmethane,p-cresol,_-terpineol,skatole,diethyl butanedioate,ethyl butyrate,4-pentenoic acid,ethyl formate,indole,gamma-valerolactone,ethyl hexanoate,musk galaxolide,hexyl hexanoate,p-cresyl acetate,heptan-2-one,butanal,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",guaiacol,cuminic aldehyde,diphenyl oxide,"2,4-trans-trans-decadienal",butyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,
256,30,30,0,1/2,wrong,acetic acid,ethyl propionate,para-methyl quinoline,2-methylpropanoic acid,octanal,decan-2-one,propan-2-ol,4-methoxybenzaldehyde,chlorothymol,2-methylpropanal,butanal,pentyl acetate,l-menthol,4-Methyl-3-penten-2-one,indole,iso-valeraldehyde,laevo-beta-pinene,methyl benzoate,iso-valeric acid,propan-1-ol, 1-Isopropyl-4-methylbenzene,1-hexanol,thiolane,propane-1-thiol,alpha-pinene,skatole,trimethyl amine,guaiacol,4-methyl anisole,hydroxy citronellal,,,,,,,,,,,,,,,,,,,,,,,,,,
256,30,30,0,not diluted,wrong,acetic acid,ethyl propionate,para-methyl quinoline,2-methylpropanoic acid,octanal,decan-2-one,propan-2-ol,4-methoxybenzaldehyde,chlorothymol,2-methylpropanal,butanal,pentyl acetate,l-menthol,4-Methyl-3-penten-2-one,indole,iso-valeraldehyde,laevo-beta-pinene,methyl benzoate,iso-valeric acid,propan-1-ol, 1-Isopropyl-4-methylbenzene,1-hexanol,thiolane,propane-1-thiol,alpha-pinene,skatole,trimethyl amine,guaiacol,4-methyl anisole,hydroxy citronellal,wrong,wrong,right,wrong,right,wrong,right,right,right,right,wrong,right,right,right,right,right,right,wrong,wrong,right,right,right,right,right,right,right
256,30,30,0,1/4,right,musk galaxolide,phenyl acetylene,bis(methylsulfanyl)methane,amyl butyrate,ortho-tolualdehyde,pentan-2-ol,dimethyl trisulfide,strawberry aldehyde,nonyl acetate,isoamyl acetate,celeriax,2-phenylethyl acetate,ethyl butyrate,furfuryl mercaptan,linalool,1-octen-3-ol,2-oxopropanoic acid,cinnamic aldehyde,2-ethyl pyrazine,diphenyl oxide,ethyl pentanoate,gamma-valerolactone,methyl butanoate,methyl salicylate,"2,4-trans-trans-decadienal",pentyl valerate,methyl octanoate,butanoic acid,eugenol,3-hexanol,,,,,,,,,,,,,,,,,,,,,,,,,,
18,30,20,33.33,1/2,wrong,ethyl decanoate,trans-2-hexenal,hydroxy citronellal,iso-bornyl acetate,propan-1-ol,limonene,ethyl butyrate,methyl benzoate,diethyl butanedioate,hexanoic acid,pentyl valerate,gamma-undecalactone,p-cresol,decanoic acid,acetophenone,4-methyl anisole,phenyl acetylene,ortho-acetyl pyridine,heptan-2-ol,gamma-valerolactone,propane-1-thiol,musk galaxolide,4-ethyl guaiacol,methyl anthranilate,4-pentenoic acid,caryophyllene,2-methylpropanal,thiophene,hexan-3-one,pentan-2-ol,,,,,,,,,,,,,,,,,,,,,,,,,,
18,30,20,33.33,not diluted,wrong,ethyl decanoate,trans-2-hexenal,hydroxy citronellal,iso-bornyl acetate,propan-1-ol,limonene,ethyl butyrate,methyl benzoate,diethyl butanedioate,hexanoic acid,pentyl valerate,gamma-undecalactone,p-cresol,decanoic acid,acetophenone,4-methyl anisole,phenyl acetylene,ortho-acetyl pyridine,heptan-2-ol,gamma-valerolactone,propane-1-thiol,musk galaxolide,4-ethyl guaiacol,methyl anthranilate,4-pentenoic acid,caryophyllene,2-methylpropanal,thiophene,hexan-3-one,pentan-2-ol,right,right,wrong,right,wrong,wrong,wrong,wrong,right,right,right,wrong,right,right,right,wrong,wrong,right,right,wrong,right,wrong,wrong,right,right,right
18,30,20,33.33,1/4,right,ethyl decanoate,trans-2-hexenal,hydroxy citronellal,iso-bornyl acetate,propan-1-ol,limonene,ethyl butyrate,methyl benzoate,diethyl butanedioate,hexanoic acid,l-menthol,ethyl octanoate,2-phenylethyl acetate,"2,4-trans-trans-decadienal",diphenyl oxide,butyl acetate,methyl salicylate,guaiacol,melonal,acetic acid,decan-2-one,2-oxopropanoic acid,methyl butanoate,S-(methyl thio) butyrate,"2,3-dimethyl pyrazine",iso-pentyl phenyl acetate,_-terpineol,ethyl pentanoate,alpha-pinene,butanal,,,,,,,,,,,,,,,,,,,,,,,,,,
33,30,20,33.33,1/2,wrong,2-phenyl propionaldehyde dimethyl acetal,guaiacol,1-hexanol,phenyl ethanol,thiolane,cinnamic aldehyde,muguet carbinol,nonan-2-ol,p-cresyl-iso-butyrate,4-Methyl-3-penten-2-one,pent-1-en-3-ol,ortho-acetyl pyridine,3-hexanol,butanoic acid,dimethyl benzyl carbinyl butyrate,indole,undecylenic acid,2-phenylethyl acetate,iso-valeraldehyde, 1-Isopropyl-4-methylbenzene,iso-bornyl acetate,ethyl pentanoate,iso-phorone,geraniol,methylsulfanylmethane,methyl butanoate,benzaldehyde,ortho-tolualdehyde,diethyl butanedioate,nonyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,
33,30,20,33.33,1/4,wrong,2-phenyl propionaldehyde dimethyl acetal,guaiacol,1-hexanol,phenyl ethanol,thiolane,cinnamic aldehyde,muguet carbinol,nonan-2-ol,p-cresyl-iso-butyrate,4-Methyl-3-penten-2-one,pent-1-en-3-ol,ortho-acetyl pyridine,3-hexanol,butanoic acid,dimethyl benzyl carbinyl butyrate,indole,undecylenic acid,2-phenylethyl acetate,iso-valeraldehyde, 1-Isopropyl-4-methylbenzene,iso-bornyl acetate,ethyl pentanoate,iso-phorone,geraniol,methylsulfanylmethane,methyl butanoate,benzaldehyde,ortho-tolualdehyde,diethyl butanedioate,nonyl acetate,wrong,right,right,right,wrong,wrong,wrong,wrong,right,right,right,right,right,right,wrong,right,wrong,right,right,right,wrong,wrong,right,right,right,right
33,30,20,33.33,not diluted,right,2-phenyl propionaldehyde dimethyl acetal,guaiacol,1-hexanol,phenyl ethanol,thiolane,cinnamic aldehyde,muguet carbinol,nonan-2-ol,p-cresyl-iso-butyrate,4-Methyl-3-penten-2-one,butyl acetate,l-menthol,cyclohexanol,butanal,phenyl acetylene,2-ethyl pyrazine,ethyl formate,linalool,S-(methyl thio) butyrate,cuminic aldehyde,acetic acid,dibutyl amine,pentyl acetate,propan-2-one,trimethyl amine,bis(methylsulfanyl)methane,_-terpineol,ethyl hexanoate,octanal,diphenyl oxide,,,,,,,,,,,,,,,,,,,,,,,,,,
42,30,20,33.33,1/4,wrong,gamma-nonalactone,gamma-valerolactone,celeriax,acetic acid,isoamyl acetate,methyl salicylate,ethyl formate,(methyldisulfanyl) methane,heptan-2-one,eugenol,ethyl hexanoate,_-terpineol,iso-pentyl phenyl acetate,2-methylpropanal,anisole,methyl anthranilate,propan-2-one,"2,4-trans-trans-decadienal",alpha-pinene,amyl butyrate,hexyl hexanoate,l-menthol,phenyl acetylene,nonyl acetate,thymol,iso-valeraldehyde,propan-1-ol,pentyl acetate,eucalyptol,S-(methyl thio) butyrate,,,,,,,,,,,,,,,,,,,,,,,,,,
42,30,20,33.33,1/2,wrong,gamma-nonalactone,gamma-valerolactone,celeriax,acetic acid,isoamyl acetate,methyl salicylate,ethyl formate,(methyldisulfanyl) methane,heptan-2-one,eugenol,ethyl hexanoate,_-terpineol,iso-pentyl phenyl acetate,2-methylpropanal,anisole,methyl anthranilate,propan-2-one,"2,4-trans-trans-decadienal",alpha-pinene,amyl butyrate,hexyl hexanoate,l-menthol,phenyl acetylene,nonyl acetate,thymol,iso-valeraldehyde,propan-1-ol,pentyl acetate,eucalyptol,S-(methyl thio) butyrate,wrong,right,right,wrong,wrong,right,wrong,wrong,wrong,right,wrong,wrong,wrong,wrong,wrong,wrong,wrong,right,right,wrong,right,right,wrong,right,right,wrong
42,30,20,33.33,not diluted,right,gamma-nonalactone,gamma-valerolactone,celeriax,acetic acid,isoamyl acetate,methyl salicylate,ethyl formate,(methyldisulfanyl) methane,heptan-2-one,eugenol,chlorothymol,pentyl valerate,musk galaxolide,butanal,butane-2-thiol,linalool,ethyl pentanoate,ortho-acetyl pyridine,cyclohexanol,gamma-undecalactone,ethyl decanoate,methyl benzoate,2-phenylethyl acetate,undecylenic acid,nonan-2-ol,phenyl acetic acid,methyl propanoate,ethyl propionate,dibutyl amine,2-methylpropanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,
70,30,20,33.33,not diluted,wrong,geraniol,trimethyl amine,thiolane,gamma-undecalactone,acetaldehyde,thymol,undecylenic acid,decanoic acid,phenyl acetylene,propan-1-ol,hexan-3-one,hexanoic acid,S-(methyl thio) butyrate,_-terpineol,propane-1-thiol,celeriax,p-cresol,pent-1-en-3-ol,nonan-2-ol,laevo-beta-pinene,muguet carbinol,heptanal,pentan-2-ol,ethyl 2-hydroxypropanoate,indole,methyl butanoate,diphenyl oxide,anisole,"2,4-trans-trans-decadienal",methylsulfanylmethane,,,,,,,,,,,,,,,,,,,,,,,,,,
70,30,20,33.33,1/4,wrong,geraniol,trimethyl amine,thiolane,gamma-undecalactone,acetaldehyde,thymol,undecylenic acid,decanoic acid,phenyl acetylene,propan-1-ol,hexan-3-one,hexanoic acid,S-(methyl thio) butyrate,_-terpineol,propane-1-thiol,celeriax,p-cresol,pent-1-en-3-ol,nonan-2-ol,laevo-beta-pinene,muguet carbinol,heptanal,pentan-2-ol,ethyl 2-hydroxypropanoate,indole,methyl butanoate,diphenyl oxide,anisole,"2,4-trans-trans-decadienal",methylsulfanylmethane,wrong,wrong,wrong,right,wrong,right,right,wrong,right,right,right,wrong,wrong,wrong,right,right,right,right,right,right,wrong,right,right,wrong,wrong,right
70,30,20,33.33,1/2,right,geraniol,trimethyl amine,thiolane,gamma-undecalactone,acetaldehyde,thymol,undecylenic acid,decanoic acid,phenyl acetylene,propan-1-ol,ethyl pentanoate,iso-bornyl acetate,bis(methylsulfanyl)methane,butyl acetate,acetophenone,4-methoxybenzaldehyde,4-methyl anisole,p-cresyl acetate,methyl propanoate,cyclohexanol,2-methylpropanal,pentanoic acid,caryophyllene,ethyl formate,phenyl acetic acid,propan-2-one,para-methyl quinoline,1-octen-3-ol,musk galaxolide,gamma-valerolactone,,,,,,,,,,,,,,,,,,,,,,,,,,
93,30,20,33.33,1/4,wrong,nonyl acetate,indole,"2,4-trans-trans-decadienal",decanoic acid,ortho-acetyl pyridine,_-terpineol,alpha-pinene,pentan-2-ol,2-methylpropanal,celeriax,4-ethyl guaiacol,dimethyl benzyl carbinyl butyrate,gamma-valerolactone,thymol,propyl sulfide,cyclohexanol,p-cresyl acetate,methylsulfanylmethane,4-methyl anisole,S-(methyl thio) butyrate,acetic acid,muguet carbinol,ortho-tolualdehyde,guaiacol,dibutyl amine,4-methoxybenzaldehyde,linalool,ethyl decanoate,ethyl formate,geraniol,,,,,,,,,,,,,,,,,,,,,,,,,,
93,30,20,33.33,1/2,wrong,nonyl acetate,indole,"2,4-trans-trans-decadienal",decanoic acid,ortho-acetyl pyridine,_-terpineol,alpha-pinene,pentan-2-ol,2-methylpropanal,celeriax,4-ethyl guaiacol,dimethyl benzyl carbinyl butyrate,gamma-valerolactone,thymol,propyl sulfide,cyclohexanol,p-cresyl acetate,methylsulfanylmethane,4-methyl anisole,S-(methyl thio) butyrate,acetic acid,muguet carbinol,ortho-tolualdehyde,guaiacol,dibutyl amine,4-methoxybenzaldehyde,linalool,ethyl decanoate,ethyl formate,geraniol,right,wrong,right,right,wrong,wrong,right,wrong,right,right,right,right,right,right,wrong,right,right,right,wrong,right,right,right,right,right,right,right
93,30,20,33.33,not diluted,right,nonyl acetate,indole,"2,4-trans-trans-decadienal",decanoic acid,ortho-acetyl pyridine,_-terpineol,alpha-pinene,pentan-2-ol,2-methylpropanal,celeriax,undecylenic acid,trimethyl amine,phenyl acetic acid,diphenyl oxide,propan-1-ol,octanal,hexyl hexanoate,ethyl hexanoate,p-cresyl-iso-butyrate,chlorothymol,ethyl octanoate,2-methylpropanoic acid,butane-2-thiol,l-menthol,gamma-nonalactone,p-cresol,3-hexanol,methyl propanoate,ethyl 2-hydroxypropanoate,trans-2-hexenal,,,,,,,,,,,,,,,,,,,,,,,,,,
94,30,20,33.33,1/2,wrong,isoamyl acetate,nonan-2-ol,acetophenone,decan-2-one,butyl sulfide,heptanal,gamma-nonalactone,ethyl hexanoate,diphenyl oxide,dimethyl trisulfide,thiophene,strawberry aldehyde,2-phenyl propionaldehyde dimethyl acetal,cinnamic aldehyde,limonene,3-hexanol,diethyl butanedioate,p-cresyl acetate,iso-valeric acid,1-octen-3-ol,celeriax,eugenol,hexanal,iso-pentyl phenyl acetate,"(3S)-3,7-dimethyloct-6-en-1-ol",2-methylpropanoic acid,chlorothymol,bis(methylsulfanyl)methane,muguet carbinol,gamma-valerolactone,,,,,,,,,,,,,,,,,,,,,,,,,,
