Stimulus,CID
103005,103005
103034,103034
103212,103212
103310,103310
103377,103377
103381,103381
103401,103401
103402,103402
103404,103404
103499,103499
103589,103589
103607,103607
103648,103648
103649,103649
103654,103654
103655,103655
103659,103659
103688,103688
103719,103719
103788,103788
103826,103826
103875,103875
104224,104224
104307,104307
104421,104421
104471,104471
104512,104512
104513,104513
104598,104598
104620,104620
104721,104721
104722,104722
105179,105179
105426,105426
105511,105511
105513,105513
105516,105516
105533,105533
105594,105594
105595,105595
105651,105651
105664,105664
105755,105755
105758,105758
105764,105764
105844,105844
105896,105896
106157,106157
106164,106164
106216,106216
106217,106217
106441,106441
106442,106442
106530,106530
106672,106672
106673,106673
106674,106674
106684,106684
106697,106697
106711,106711
106725,106725
106728,106728
106729,106729
106735,106735
106739,106739
106740,106740
106742,106742
106743,106743
106745,106745
106746,106746
106748,106748
106756,106756
106766,106766
106770,106770
106787,106787
106823,106823
106862,106862
106866,106866
106871,106871
106917,106917
106936,106936
106937,106937
106951,106951
106963,106963
106973,106973
106997,106997
107035,107035
107057,107057
107059,107059
107068,107068
107071,107071
107074,107074
107098,107098
107099,107099
107113,107113
107152,107152
107166,107166
107217,107217
107271,107271
107272,107272
107333,107333
107381,107381
107561,107561
108237,108237
108242,108242
108244,108244
108312,108312
108313,108313
108335,108335
108377,108377
108424,108424
108425,108425
108426,108426
108443,108443
108446,108446
108505,108505
108506,108506
108515,108515
108518,108518
108625,108625
108630,108630
108662,108662
108716,108716
108764,108764
108765,108765
108902,108902
108940,108940
109095,109095
109116,109116
109127,109127
109183,109183
109187,109187
109244,109244
109245,109245
109257,109257
109261,109261
109263,109263
109301,109301
109319,109319
109323,109323
109332,109332
109413,109413
109415,109415
109417,109417
109418,109418
109455,109455
109457,109457
109458,109458
109464,109464
109467,109467
109468,109468
109472,109472
109507,109507
109640,109640
109828,109828
110365,110365
110373,110373
110542,110542
110543,110543
110655,110655
110664,110664
110740,110740
110747,110747
110801,110801
110867,110867
110914,110914
110923,110923
110968,110968
110975,110975
110976,110976
110977,110977
111037,111037
111044,111044
111255,111255
111274,111274
111351,111351
111369,111369
111376,111376
111378,111378
111384,111384
111394,111394
111402,111402
111416,111416
111418,111418
111440,111440
111446,111446
111516,111516
111547,111547
111727,111727
112002,112002
112030,112030
112045,112045
112049,112049
112050,112050
112051,112051
112052,112052
112053,112053
112162,112162
112172,112172
112185,112185
112226,112226
112240,112240
112446,112446
112457,112457
112491,112491
112492,112492
112553,112553
112721,112721
112802,112802
113007,113007
113204,113204
113425,113425
113514,113514
113640,113640
114233,114233
114416,114416
114419,114419
114453,114453
114454,114454
114530,114530
114535,114535
114558,114558
114601,114601
116562,116562
116699,116699
116740,116740
117305,117305
117336,117336
117477,117477
117549,117549
117568,117568
118088,118088
118097,118097
118111,118111
118119,118119
118134,118134
118146,118146
118148,118148
118201,118201
118225,118225
118262,118262
118292,118292
118487,118487
118521,118521
118530,118530
118641,118641
118658,118658
118782,118782
118823,118823
119634,119634
119674,119674
119800,119800
119831,119831
119832,119832
119847,119847
119853,119853
120048,120048
120101,120101
121677,121677
121694,121694
121719,121719
121731,121731
121738,121738
121739,121739
121777,121777
121790,121790
122370,122370
122484,122484
122500,122500
122510,122510
122558,122558
122594,122594
122941,122941
122943,122943
123388,123388
125207,125207
125468,125468
126537,126537
135309,135309
136330,136330
138491,138491
138508,138508
138818,138818
139711,139711
139743,139743
140511,140511
140615,140615
140649,140649
141850,141850
142266,142266
142629,142629
146586,146586
151276,151276
155007,155007
155626,155626
155708,155708
156273,156273
156605,156605
157342,157342
158410,158410
159055,159055
160065,160065
160138,160138
160641,160641
160799,160799
161528,161528
161675,161675
161676,161676
161936,161936
161949,161949
161960,161960
161993,161993
162002,162002
162027,162027
162030,162030
162053,162053
162061,162061
162239,162239
162248,162248
162249,162249
162275,162275
162292,162292
162293,162293
162297,162297
162392,162392
162409,162409
162413,162413
162418,162418
162452,162452
162458,162458
162476,162476
162479,162479
162481,162481
162493,162493
162512,162512
162595,162595
162626,162626
162627,162627
163251,163251
163259,163259
163261,163261
163281,163281
163400,163400
163414,163414
163418,163418
163529,163529
163546,163546
163588,163588
163620,163620
164355,164355
164422,164422
165224,165224
166220,166220
166246,166246
166302,166302
166341,166341
166343,166343
166374,166374
166450,166450
166486,166486
166500,166500
166504,166504
166517,166517
166523,166523
166527,166527
167812,167812
168115,168115
169110,169110
169211,169211
169223,169223
169321,169321
169818,169818
169830,169830
